mtk,inggris,agama,fisika,kimia,biologi,ekonomi,minat_teknik,minat_kesehatan,minat_bisnis,minat_pendidikan,hafalan,prodi
70,75,71,60,57,53,50,5,1,1,2,0,S1 Informatika
86,72,50,73,71,56,85,1,1,3,3,0,S1 Akuntansi
68,78,54,50,50,68,74,2,1,3,2,0,S1 Akuntansi
50,64,81,50,50,50,58,1,3,1,3,0,S1 Studi Islam Interdisipliner
77,52,83,92,50,50,59,4,2,4,1,0,S1 Informatika
50,61,53,61,80,66,52,1,4,2,1,0,S1 Farmasi
58,96,58,57,92,96,85,2,5,2,3,0,S1 Farmasi
80,53,54,59,78,73,50,1,5,2,2,1,S1 Farmasi
93,90,96,88,96,89,97,1,1,4,2,0,S1 Akuntansi
60,56,72,50,50,78,50,2,2,1,4,0,S1 PGSD
56,51,53,69,80,65,89,1,2,4,2,0,S1 Agribisnis
62,77,78,73,68,53,50,5,2,3,1,0,S1 Informatika
70,77,51,64,52,50,50,4,2,2,1,0,S1 Informatika
50,67,50,61,94,73,72,3,3,2,2,1,S1 Teknologi Hasil Pertanian
50,64,50,62,71,78,53,3,4,2,2,0,S1 Teknologi Hasil Pertanian
78,66,73,63,53,62,73,2,3,4,1,0,S1 Akuntansi
91,75,66,84,61,58,50,4,1,1,1,0,S1 Teknik Elektro
83,81,50,63,50,54,50,4,1,1,2,0,S1 Informatika
63,53,52,67,63,50,50,5,2,2,1,0,S1 Informatika
73,81,50,50,50,50,73,3,1,4,3,0,S1 Manajemen
50,75,88,63,50,59,77,2,1,1,4,0,S1 Pendidikan Bahasa Inggris
58,78,57,66,85,58,70,1,4,1,2,0,S1 Farmasi
71,63,50,50,50,50,97,3,2,5,1,0,S1 Manajemen
72,50,50,86,80,50,64,4,3,3,1,0,S1 Informatika
83,57,76,77,75,77,58,1,4,3,3,0,S1 Farmasi
62,54,70,56,73,65,74,2,2,3,3,1,S1 Agribisnis
71,53,59,71,50,50,66,1,2,2,3,1,S1 PGSD
50,64,84,50,50,74,92,1,1,3,3,0,S1 Agribisnis
61,66,55,64,51,57,63,1,1,4,1,0,S1 Akuntansi
50,53,82,50,50,50,59,1,3,1,4,1,S1 Studi Islam Interdisipliner
69,50,68,60,74,68,51,2,2,1,4,0,S1 PGSD
66,50,64,54,72,65,85,1,1,2,4,1,S1 Agribisnis
66,65,53,67,50,69,87,1,2,5,2,0,S1 Manajemen
69,67,71,62,50,59,50,1,2,1,3,0,S1 Pendidikan Bahasa Inggris
63,100,70,50,54,59,62,2,1,3,4,0,S1 PGSD
71,73,50,59,75,67,90,2,1,4,1,0,S1 Akuntansi
50,70,64,56,61,73,87,1,1,3,2,0,S1 Agribisnis
87,60,74,75,67,78,51,4,1,1,1,0,S1 Informatika
70,58,61,68,68,90,59,3,4,2,4,0,S1 Teknologi Hasil Pertanian
63,81,50,70,50,54,84,5,3,2,1,0,S1 Informatika
53,69,50,50,52,63,82,3,2,3,3,0,S1 Teknologi Hasil Pertanian
62,59,74,72,88,65,62,2,3,3,3,0,S1 Farmasi
60,89,70,54,50,67,74,1,2,4,2,1,S1 Agribisnis
70,76,77,73,60,71,58,4,2,2,1,0,S1 Informatika
72,63,73,74,50,52,56,1,2,1,4,0,S1 PGSD
80,50,63,91,68,52,81,4,1,2,2,0,S1 Teknik Elektro
70,80,93,63,51,50,50,5,1,1,1,0,S1 Informatika
50,76,75,50,79,75,50,1,1,1,4,0,S1 Pendidikan Bahasa Inggris
50,69,50,67,72,64,70,3,2,2,2,0,S1 Teknologi Hasil Pertanian
71,50,56,57,56,50,77,1,1,4,1,0,S1 Manajemen
79,50,57,78,77,55,56,4,2,2,1,0,S1 Teknik Elektro
70,56,58,59,71,73,86,2,1,2,2,0,S1 Agribisnis
91,89,95,90,87,95,94,1,2,3,1,1,S1 Agribisnis
77,71,69,91,88,50,93,1,1,3,2,0,S1 Akuntansi
50,69,64,50,62,84,80,1,3,3,2,0,S1 Agribisnis
93,69,56,74,50,55,54,4,1,1,1,0,S1 Informatika
68,51,57,56,57,62,64,2,2,2,2,0,S1 Teknologi Hasil Pertanian
72,50,89,76,50,61,50,1,3,2,4,1,S1 Studi Islam Interdisipliner
73,78,50,84,72,81,81,1,2,4,1,0,S1 Akuntansi
60,69,78,65,67,73,50,5,1,1,1,0,S1 Informatika
54,69,50,68,50,78,67,1,2,2,2,0,S1 Agribisnis
53,56,75,50,51,73,63,2,2,4,2,0,S1 Agribisnis
53,53,93,50,66,50,63,1,1,4,2,0,S1 Akuntansi
68,69,70,50,55,75,53,1,3,1,4,0,S1 PGSD
58,50,60,66,81,68,55,2,1,1,1,1,S1 Teknologi Hasil Pertanian
72,89,68,55,64,62,68,1,4,2,3,0,S1 Pendidikan Bahasa Inggris
67,81,50,60,55,60,50,2,1,3,1,0,S1 Informatika
66,77,55,86,61,50,79,1,1,5,3,0,S1 Akuntansi
67,99,66,55,75,58,82,2,1,4,3,0,S1 Manajemen
70,87,50,50,50,50,58,4,1,2,1,0,S1 Informatika
53,77,59,76,77,89,72,3,4,2,2,0,S1 Teknologi Hasil Pertanian
50,51,58,59,74,70,66,4,3,1,3,1,S1 Teknologi Hasil Pertanian
62,69,66,89,50,50,78,1,3,1,4,0,S1 Pendidikan Bahasa Inggris
77,64,61,57,73,97,50,1,5,2,2,0,S1 Farmasi
55,56,60,65,61,61,69,4,2,2,1,0,S1 Teknik Elektro
70,69,67,62,61,79,66,1,2,1,2,1,S1 Teknologi Hasil Pertanian
54,75,57,50,75,74,81,1,3,3,2,0,S1 Agribisnis
67,50,65,86,57,72,50,4,1,3,3,0,S1 Teknik Elektro
58,57,82,69,50,81,74,1,2,2,4,1,S1 Studi Islam Interdisipliner
60,87,50,50,50,50,72,1,1,5,3,0,S1 Manajemen
71,73,64,90,50,50,50,3,2,1,1,0,S1 Informatika
59,50,77,85,56,50,68,4,1,3,1,0,S1 Teknik Elektro
51,73,57,52,61,68,63,1,2,2,4,1,S1 Pendidikan Bahasa Inggris
71,55,57,67,77,77,50,1,5,1,2,0,S1 Farmasi
91,66,84,75,72,88,65,2,3,1,1,0,S1 Teknologi Hasil Pertanian
68,63,57,70,79,62,77,3,5,3,2,1,S1 Teknologi Hasil Pertanian
53,79,68,80,50,77,74,2,1,4,2,0,S1 Akuntansi
76,50,65,65,56,50,50,5,1,2,1,1,S1 Informatika
73,67,62,50,64,50,75,2,1,4,2,1,S1 Manajemen
65,50,76,61,98,72,57,1,4,2,1,0,S1 Farmasi
71,93,56,65,55,50,65,2,2,4,1,0,S1 Akuntansi
61,78,77,50,70,50,50,2,2,2,4,0,S1 Pendidikan Bahasa Inggris
70,59,59,68,53,54,61,3,3,3,4,0,S1 PGSD
53,86,50,71,70,50,78,1,1,4,3,0,S1 Akuntansi
70,71,50,75,50,50,50,5,1,1,2,0,S1 Informatika
79,83,50,50,62,65,68,2,1,4,3,0,S1 Manajemen
50,76,79,54,72,94,83,1,2,3,2,1,S1 Agribisnis
67,61,50,61,60,62,52,1,1,4,1,0,S1 Akuntansi
65,52,55,73,68,51,52,4,1,1,2,0,S1 Teknik Elektro
57,73,68,61,50,59,71,1,2,4,2,0,S1 Akuntansi
82,80,63,50,55,63,50,1,1,2,4,0,S1 Pendidikan Bahasa Inggris
59,70,81,59,83,65,62,4,4,2,2,0,S1 Teknologi Hasil Pertanian
67,50,61,50,76,58,75,1,2,2,4,0,S1 PGSD
91,50,50,69,84,60,55,2,2,5,2,0,S1 Akuntansi
59,63,50,64,50,61,75,1,1,5,2,0,S1 Akuntansi
80,72,70,59,55,76,76,1,1,5,1,0,S1 Akuntansi
73,58,84,62,50,74,73,1,2,3,2,0,S1 Agribisnis
62,50,51,50,50,50,81,1,2,5,3,0,S1 Akuntansi
63,58,70,55,50,50,84,1,1,4,3,0,S1 Akuntansi
